model;method;n;IA_mean;IA_sd;HR_mean;HR_sd;KMC_mean;KMC_sd
gpt-5.4-mini-2026-03-17;AuthoritativeTone;15;100.0;0.0;0.0;0.0;86.333333;16.846647
gpt-5.4-mini-2026-03-17;ConclusionFirst;15;100.0;0.0;0.0;0.0;91.666667;18.093672
gpt-5.4-mini-2026-03-17;FluencyOptimization;15;99.696667;1.174805;0.0;0.0;87.666667;14.251149
gpt-5.4-mini-2026-03-17;JSON-LD;15;100.0;0.0;0.0;0.0;91.666667;12.198751
gpt-5.4-mini-2026-03-17;LogicalStructure;15;100.0;0.0;0.0;0.0;94.333333;12.373166
gpt-5.4-mini-2026-03-17;Original;15;99.804;0.759105;0.0;0.0;96.666667;8.796644
gpt-5.4-mini-2026-03-17;QuotationAddition;15;100.0;0.0;0.0;0.0;92.0;11.771637
gpt-5.4-mini-2026-03-17;StatisticsAddition;15;100.0;0.0;0.0;0.0;95.0;10.350983
gemini-3.5-flash;AuthoritativeTone;15;99.576667;1.127105;2.172;2.530972;91.666667;22.493385
gemini-3.5-flash;ConclusionFirst;15;100.0;0.0;2.012;2.347912;98.333333;6.454972
gemini-3.5-flash;FluencyOptimization;15;99.612667;1.023261;2.217333;2.230514;88.666667;18.367933
gemini-3.5-flash;JSON-LD;15;99.798;0.782343;3.486;3.366477;91.666667;15.430335
gemini-3.5-flash;LogicalStructure;15;100.0;0.0;1.416;1.909442;96.666667;8.796644
gemini-3.5-flash;Original;15;99.638667;0.95524;2.321333;2.236275;93.333333;14.840421
gemini-3.5-flash;QuotationAddition;15;100.0;0.0;2.969333;2.859234;97.0;7.973169
gemini-3.5-flash;StatisticsAddition;15;100.0;0.0;2.483333;2.519965;95.666667;9.036961
