metric;model;method;n_pairs;n_eff;median;q25;q75;p_value;p_holm;significant;r_rb;degenerate
IA;gpt-5.4-mini-2026-03-17;AuthoritativeTone;15;1;0.0;0.0;0.0;1.0;1.0;False;1.0;False
IA;gpt-5.4-mini-2026-03-17;ConclusionFirst;15;1;0.0;0.0;0.0;1.0;1.0;False;1.0;False
IA;gpt-5.4-mini-2026-03-17;FluencyOptimization;15;2;0.0;0.0;0.0;1.0;1.0;False;-0.333333;False
IA;gpt-5.4-mini-2026-03-17;JSON-LD;15;1;0.0;0.0;0.0;1.0;1.0;False;1.0;False
IA;gpt-5.4-mini-2026-03-17;LogicalStructure;15;1;0.0;0.0;0.0;1.0;1.0;False;1.0;False
IA;gpt-5.4-mini-2026-03-17;QuotationAddition;15;1;0.0;0.0;0.0;1.0;1.0;False;1.0;False
IA;gpt-5.4-mini-2026-03-17;StatisticsAddition;15;1;0.0;0.0;0.0;1.0;1.0;False;1.0;False
IA;gemini-3.5-flash;AuthoritativeTone;15;3;0.0;0.0;0.0;1.0;1.0;False;0.0;False
IA;gemini-3.5-flash;ConclusionFirst;15;2;0.0;0.0;0.0;0.5;1.0;False;1.0;False
IA;gemini-3.5-flash;FluencyOptimization;15;3;0.0;0.0;0.0;1.0;1.0;False;0.0;False
IA;gemini-3.5-flash;JSON-LD;15;2;0.0;0.0;0.0;1.0;1.0;False;0.333333;False
IA;gemini-3.5-flash;LogicalStructure;15;2;0.0;0.0;0.0;0.5;1.0;False;1.0;False
IA;gemini-3.5-flash;QuotationAddition;15;2;0.0;0.0;0.0;0.5;1.0;False;1.0;False
IA;gemini-3.5-flash;StatisticsAddition;15;2;0.0;0.0;0.0;0.5;1.0;False;1.0;False
HR;gpt-5.4-mini-2026-03-17;AuthoritativeTone;15;0;0.0;0.0;0.0;;;False;0.0;True
HR;gpt-5.4-mini-2026-03-17;ConclusionFirst;15;0;0.0;0.0;0.0;;;False;0.0;True
HR;gpt-5.4-mini-2026-03-17;FluencyOptimization;15;0;0.0;0.0;0.0;;;False;0.0;True
HR;gpt-5.4-mini-2026-03-17;JSON-LD;15;0;0.0;0.0;0.0;;;False;0.0;True
HR;gpt-5.4-mini-2026-03-17;LogicalStructure;15;0;0.0;0.0;0.0;;;False;0.0;True
HR;gpt-5.4-mini-2026-03-17;QuotationAddition;15;0;0.0;0.0;0.0;;;False;0.0;True
HR;gpt-5.4-mini-2026-03-17;StatisticsAddition;15;0;0.0;0.0;0.0;;;False;0.0;True
HR;gemini-3.5-flash;AuthoritativeTone;15;10;0.0;-1.02;0.0;0.507812;1.0;False;-0.254545;False
HR;gemini-3.5-flash;ConclusionFirst;15;10;0.0;-0.35;0.96;1.0;1.0;False;-0.018182;False
HR;gemini-3.5-flash;FluencyOptimization;15;9;0.0;-0.525;0.695;0.910156;1.0;False;-0.066667;False
HR;gemini-3.5-flash;JSON-LD;15;12;0.44;0.0;3.85;0.266113;1.0;False;0.384615;False
HR;gemini-3.5-flash;LogicalStructure;15;11;0.0;-2.68;0.125;0.240234;1.0;False;-0.424242;False
HR;gemini-3.5-flash;QuotationAddition;15;9;0.0;0.0;0.735;0.039062;0.273438;False;0.777778;False
HR;gemini-3.5-flash;StatisticsAddition;15;9;0.0;0.0;1.135;0.425781;1.0;False;0.333333;False
KMC;gpt-5.4-mini-2026-03-17;AuthoritativeTone;15;7;0.0;-22.5;0.0;0.109375;0.65625;False;-0.714286;False
KMC;gpt-5.4-mini-2026-03-17;ConclusionFirst;15;4;0.0;0.0;0.0;0.5;1.0;False;-0.6;False
KMC;gpt-5.4-mini-2026-03-17;FluencyOptimization;15;5;0.0;-22.5;0.0;0.0625;0.4375;False;-1.0;False
KMC;gpt-5.4-mini-2026-03-17;JSON-LD;15;3;0.0;0.0;0.0;0.25;1.0;False;-1.0;False
KMC;gpt-5.4-mini-2026-03-17;LogicalStructure;15;5;0.0;0.0;0.0;0.8125;1.0;False;-0.2;False
KMC;gpt-5.4-mini-2026-03-17;QuotationAddition;15;3;0.0;0.0;0.0;0.25;1.0;False;-1.0;False
KMC;gpt-5.4-mini-2026-03-17;StatisticsAddition;15;3;0.0;0.0;0.0;1.0;1.0;False;-0.333333;False
KMC;gemini-3.5-flash;AuthoritativeTone;15;5;0.0;0.0;0.0;0.9375;1.0;False;-0.133333;False
KMC;gemini-3.5-flash;ConclusionFirst;15;3;0.0;0.0;0.0;0.25;1.0;False;1.0;False
KMC;gemini-3.5-flash;FluencyOptimization;15;6;0.0;-10.0;0.0;0.5625;1.0;False;-0.333333;False
KMC;gemini-3.5-flash;JSON-LD;15;3;0.0;0.0;0.0;1.0;1.0;False;-0.333333;False
KMC;gemini-3.5-flash;LogicalStructure;15;2;0.0;0.0;0.0;0.5;1.0;False;1.0;False
KMC;gemini-3.5-flash;QuotationAddition;15;5;0.0;0.0;0.0;0.5;1.0;False;0.466667;False
KMC;gemini-3.5-flash;StatisticsAddition;15;5;0.0;0.0;0.0;0.25;1.0;False;0.6;False
